,Bigram,Count
0,"('salt', 'pepper')",82
1,"('olive', 'oil')",51
2,"('oil', 'onion')",33
3,"('vegetable', 'oil')",29
4,"('ground', 'pepper')",29
5,"('lemon', 'juice')",27
6,"('soy', 'sauce')",25
7,"('wine', 'vinegar')",22
8,"('onion', 'garlic')",15
9,"('chicken', 'breasts')",15
10,"('chicken', 'stock')",14
11,"('vegetable', 'stock')",13
12,"('curry', 'powder')",13
13,"('bread', 'crumbs')",12
14,"('ground', 'cumin')",12
15,"('lime', 'juice')",12
16,"('oil', 'garlic')",12
17,"('pepper', 'onion')",12
18,"('salt', 'ground')",12
19,"('oil', 'salt')",12
20,"('flour', 'salt')",11
21,"('flour', 'powder')",11
22,"('powder', 'salt')",11
23,"('butter', 'sugar')",11
24,"('tomato', 'paste')",10
25,"('oil', 'onions')",10
26,"('cloves', 'garlic')",10
27,"('cheddar', 'cheese')",10
28,"('pepper', 'oil')",9
29,"('oil', 'chicken')",9
30,"('bell', 'peppers')",9
31,"('worcestershire', 'sauce')",9
32,"('bell', 'pepper')",9
33,"('salt', 'oil')",9
34,"('tomato', 'sauce')",9
35,"('ginger', 'root')",9
36,"('corn', 'kernels')",8
37,"('chicken', 'broth')",8
38,"('salt', 'sugar')",8
39,"('pepper', 'flour')",8
40,"('pepper', 'salt')",8
41,"('rice', 'vinegar')",8
42,"('chicken', 'breast')",8
43,"('ground', 'coriander')",8
44,"('md', 'onion')",8
45,"('oil', 'vegetable')",7
46,"('sauce', 'oil')",7
47,"('egg', 'yolks')",7
48,"('sugar', 'eggs')",7
49,"('pepper', 'sauce')",7
50,"('pepper', 'olive')",7
51,"('butter', 'flour')",7
52,"('juice', 'salt')",7
53,"('pepper', 'pepper')",7
54,"('salt', 'butter')",6
55,"('butter', 'salt')",6
56,"('butter', 'margarine')",6
57,"('oil', 'wine')",6
58,"('onions', 'garlic')",6
59,"('fish', 'sauce')",6
60,"('onion', 'celery')",6
61,"('coriander', 'ground')",6
62,"('breast', 'halves')",6
63,"('oil', 'lemon')",6
64,"('cumin', 'ground')",6
65,"('room', 'temperature')",6
66,"('sprigs', 'thyme')",5
67,"('juice', 'pepper')",5
68,"('wheat', 'flour')",5
69,"('sugar', 'egg')",5
70,"('onion', 'salt')",5
71,"('string', 'beans')",5
72,"('pepper', 'butter')",5
73,"('butter', 'oil')",5
74,"('corn', 'syrup')",5
75,"('garlic', 'onion')",5
76,"('celery', 'seed')",5
77,"('garlic', 'salt')",5
78,"('sugar', 'salt')",5
79,"('egg', 'whites')",5
80,"('kidney', 'beans')",5
81,"('vinegar', 'sugar')",5
82,"('mustard', 'seed')",5
83,"('onion', 'butter')",5
84,"('oil', 'md')",5
85,"('sauce', 'salt')",5
86,"('vinegar', 'vegetable')",5
87,"('garlic', 'pepper')",5
88,"('tomatoes', 'tomato')",5
89,"('flour', 'milk')",5
90,"('milk', 'cream')",5
91,"('onion', 'mustard')",5
92,"('vinegar', 'salt')",5
93,"('lentils', 'oil')",5
94,"('onions', 'celery')",4
95,"('pepper', 'sugar')",4
96,"('celery', 'stalks')",4
97,"('thyme', 'salt')",4
98,"('pepper', 'potatoes')",4
99,"('vanilla', 'extract')",4
100,"('soda', 'salt')",4
101,"('oil', 'shallots')",4
102,"('pepper', 'flakes')",4
103,"('onion', 'pepper')",4
104,"('safflower', 'oil')",4
105,"('oil', 'butter')",4
106,"('purpose', 'flour')",4
107,"('flour', 'cornmeal')",4
108,"('bamboo', 'shoots')",4
109,"('whipping', 'cream')",4
110,"('sugar', 'mustard')",4
111,"('mustard', 'sugar')",4
112,"('dill', 'weed')",4
113,"('anchovy', 'fillets')",4
114,"('longgrain', 'rice')",4
115,"('salt', 'pork')",4
116,"('stick', 'butter')",4
117,"('broccoli', 'florets')",4
118,"('skinless', 'chicken')",4
119,"('basil', 'leaves')",4
120,"('oil', 'olive')",4
121,"('beef', 'stock')",4
122,"('eggs', 'flour')",4
123,"('oil', 'vinegar')",4
124,"('piece', 'ginger')",4
125,"('flour', 'sugar')",4
126,"('mustard', 'wine')",4
127,"('salt', 'milk')",4
128,"('garlic', 'tomato')",4
129,"('pepper', 'egg')",4
130,"('lentils', 'onion')",3
131,"('tomatoes', 'oil')",3
132,"('oil', 'frying')",3
133,"('pepper', 'rice')",3
134,"('pepper', 'scallions')",3
135,"('powder', 'egg')",3
136,"('pork', 'loin')",3
137,"('celery', 'ribs')",3
138,"('butter', 'onion')",3
139,"('split', 'peas')",3
140,"('onion', 'flour')",3
141,"('sea', 'salt')",3
142,"('salt', 'vegetable')",3
143,"('see', 'note')",3
144,"('pepper', 'lb')",3
145,"('parsnips', 'pieces')",3
146,"('carrots', 'pieces')",3
147,"('tomatoes', 'mushrooms')",3
148,"('coriander', 'leaves')",3
149,"('onions', 'cloves')",3
150,"('egg', 'milk')",3
151,"('oil', 'heads')",3
152,"('mint', 'leaves')",3
153,"('extract', 'butter')",3
154,"('ground', 'ground')",3
155,"('cream', 'butter')",3
156,"('flour', 'soda')",3
157,"('milk', 'eggs')",3
158,"('onion', 'powder')",3
159,"('garlic', 'powder')",3
160,"('ground', 'pork')",3
161,"('juice', 'sugar')",3
162,"('garlic', 'olive')",3
163,"('stock', 'salt')",3
164,"('semisweet', 'chocolate')",3
165,"('mustard', 'salt')",3
166,"('ground', 'turmeric')",3
167,"('stalk', 'celery')",3
168,"('celery', 'salt')",3
169,"('pepper', 'garlic')",3
170,"('potatoes', 'onion')",3
171,"('oil', 'soy')",3
172,"('buckwheat', 'flour')",3
173,"('powder', 'soda')",3
174,"('pepper', 'vegetable')",3
175,"('pepper', 'lemon')",3
176,"('tomatoes', 'salt')",3
177,"('stock', 'tomato')",3
178,"('soy', 'milk')",3
179,"('carrots', 'onion')",3
180,"('oregano', 'leaves')",3
181,"('seed', 'celery')",3
182,"('vinegar', 'garlic')",3
183,"('shallots', 'garlic')",3
184,"('rice', 'chicken')",3
185,"('pepper', 'peas')",3
186,"('soy', 'oil')",3
187,"('peanut', 'oil')",3
188,"('sunflower', 'oil')",3
189,"('onion', 'wine')",3
190,"('cream', 'salt')",3
191,"('pepper', 'juice')",3
192,"('pepper', 'basil')",3
193,"('cooking', 'spray')",3
194,"('mushroom', 'soup')",3
195,"('oil', 'chili')",3
196,"('apple', 'juice')",3
197,"('mushrooms', 'butter')",3
198,"('salt', 'tomatoes')",3
199,"('coriander', 'salt')",3
