Unigram,Count
pepper,63
salt,56
oil,49
onion,41
ts,34
butter,30
ground,27
garlic,27
flour,20
sugar,18
water,17
inch,17
taste,17
potatoes,16
olive,16
tomatoes,16
powder,16
tomato,16
vinegar,15
stock,15
wine,15
milk,14
juice,14
onions,13
lg,13
