Unigram,Count
oil,56
salt,50
pepper,48
onion,32
flour,30
butter,28
taste,24
wine,23
garlic,20
sugar,19
ground,17
water,17
ts,17
sauce,16
milk,15
rice,15
stock,15
chicken,15
vegetable,14
mushrooms,13
seeds,12
lemon,12
vinegar,12
onions,12
eggs,11
