Unigram,Count
oil,63
salt,52
pepper,48
butter,28
ts,27
onion,25
water,25
ground,25
taste,25
flour,24
sauce,23
garlic,20
sugar,19
cheese,18
olive,17
milk,16
vinegar,16
juice,16
egg,15
wine,15
inch,15
tomatoes,14
leaves,14
chicken,13
onions,13
