,Bigram,Count
0,"('salt', 'pepper')",82
1,"('olive', 'oil')",51
2,"('oil', 'onion')",33
3,"('vegetable', 'oil')",29
4,"('ground', 'pepper')",29
5,"('lemon', 'juice')",27
6,"('soy', 'sauce')",25
7,"('wine', 'vinegar')",22
8,"('onion', 'garlic')",15
9,"('chicken', 'breasts')",15
10,"('chicken', 'stock')",14
11,"('vegetable', 'stock')",13
12,"('curry', 'powder')",13
13,"('bread', 'crumbs')",12
14,"('ground', 'cumin')",12
15,"('lime', 'juice')",12
16,"('oil', 'garlic')",12
17,"('pepper', 'onion')",12
18,"('salt', 'ground')",12
19,"('oil', 'salt')",12
20,"('flour', 'salt')",11
21,"('flour', 'powder')",11
22,"('powder', 'salt')",11
23,"('butter', 'sugar')",11
24,"('tomato', 'paste')",10
25,"('oil', 'onions')",10
26,"('cloves', 'garlic')",10
27,"('cheddar', 'cheese')",10
28,"('pepper', 'oil')",9
29,"('oil', 'chicken')",9
30,"('bell', 'peppers')",9
31,"('worcestershire', 'sauce')",9
32,"('bell', 'pepper')",9
33,"('salt', 'oil')",9
34,"('tomato', 'sauce')",9
35,"('ginger', 'root')",9
36,"('corn', 'kernels')",8
37,"('chicken', 'broth')",8
38,"('salt', 'sugar')",8
39,"('pepper', 'flour')",8
40,"('pepper', 'salt')",8
41,"('rice', 'vinegar')",8
42,"('chicken', 'breast')",8
43,"('ground', 'coriander')",8
44,"('md', 'onion')",8
45,"('oil', 'vegetable')",7
46,"('sauce', 'oil')",7
47,"('egg', 'yolks')",7
48,"('sugar', 'eggs')",7
49,"('pepper', 'sauce')",7
50,"('pepper', 'olive')",7
51,"('butter', 'flour')",7
52,"('juice', 'salt')",7
53,"('pepper', 'pepper')",7
54,"('salt', 'butter')",6
55,"('butter', 'salt')",6
56,"('butter', 'margarine')",6
57,"('oil', 'wine')",6
58,"('onions', 'garlic')",6
59,"('fish', 'sauce')",6
60,"('onion', 'celery')",6
61,"('coriander', 'ground')",6
62,"('breast', 'halves')",6
63,"('oil', 'lemon')",6
64,"('cumin', 'ground')",6
65,"('room', 'temperature')",6
66,"('sprigs', 'thyme')",5
67,"('juice', 'pepper')",5
68,"('wheat', 'flour')",5
69,"('sugar', 'egg')",5
70,"('onion', 'salt')",5
71,"('string', 'beans')",5
72,"('pepper', 'butter')",5
73,"('butter', 'oil')",5
74,"('corn', 'syrup')",5
75,"('garlic', 'onion')",5
76,"('celery', 'seed')",5
77,"('garlic', 'salt')",5
78,"('sugar', 'salt')",5
79,"('egg', 'whites')",5
80,"('kidney', 'beans')",5
81,"('vinegar', 'sugar')",5
82,"('mustard', 'seed')",5
83,"('onion', 'butter')",5
84,"('oil', 'md')",5
85,"('sauce', 'salt')",5
86,"('vinegar', 'vegetable')",5
87,"('garlic', 'pepper')",5
88,"('tomatoes', 'tomato')",5
89,"('flour', 'milk')",5
90,"('milk', 'cream')",5
91,"('onion', 'mustard')",5
92,"('vinegar', 'salt')",5
93,"('lentils', 'oil')",5
94,"('onions', 'celery')",4
95,"('pepper', 'sugar')",4
96,"('celery', 'stalks')",4
97,"('thyme', 'salt')",4
98,"('pepper', 'potatoes')",4
99,"('vanilla', 'extract')",4
