Unigram,Count
salt,73
oil,68
pepper,61
water,43
onion,36
ts,36
chicken,34
sugar,29
sauce,26
onions,24
butter,24
garlic,24
ground,23
celery,20
tomato,20
beans,20
flour,20
juice,19
vinegar,19
wine,17
powder,16
tomatoes,15
lemon,15
mustard,15
taste,14
